name,amount
RUTECKI,801
CUBER,800
JABŁONKA,800
LISIEWICZ,800
ŁAWRYNOWICZ,800
WĄŻ,800
ZAMBRZYCKI,800
CHROBOK,799
GRABEK,799
ILCZUK,799
TURCZYŃSKI,798
PASTUSIAK,797
SKOP,797
SMOŁKA,797
SZTUKA,797
HARASIMOWICZ,796
BŁAŻEWICZ,795
CHUDEK,795
GAWRYLUK,795
JANUSZEK,795
JARZĘBOWSKI,795
PŁOCHOCKI,795
RAJ,795
SKURA,795
BIGAJ,794
DRABEK,794
KĘSICKI,794
KIERZEK,794
NIEDZIAŁKOWSKI,794
OLESZKIEWICZ,794
SIERANT,794
STĘPNIK,794
CIEPIELA,793
KLUKOWSKI,793
KORDOWSKI,793
RAJCHEL,793
SIEMIENIUK,793
BERNACIAK,792
GOŹDZIEWSKI,792
MADEJCZYK,792
MAŁYSKA,792
MIKOŚ,792
KALINA,791
KIEŁBOWICZ,791
ROGIŃSKI,791
TRYBA,791
WOLSZCZAK,791
BERENT,790
KAMIEŃSKI,790
KIEŁKOWSKI,790
ROSOŁOWSKI,790
SYGUŁA,790
WAŁĘGA,790
WIJAS,790
BANASZEWSKI,789
BEDNORZ,789
BRONK,789
BARTECKI,788
KUCZMA,788
MACZUGA,788
PASIERB,788
POPKO,788
PRUSZKOWSKI,788
FILIPCZUK,787
KORCZYK,787
MĘŻYK,787
PSIUK,787
STRYJEWSKI,787
CHORZĘPA,786
KARGUL,786
ŁYSIK,786
NIZIO,786
BŁACHNIO,785
DYGAS,785
DYJAK,785
JANCZURA,785
KACHNIARZ,785
TYLKA,785
UKLEJA,785
WALKOWICZ,785
BURSKI,784
GLEŃ,784
GNIAZDOWSKI,784
GROCHALA,784
KULPIŃSKI,784
POLITOWSKI,784
WYSZKOWSKI,784
WIELOCH,783
DYRCZ,782
JARCZEWSKI,782
KNOPIK,782
MIKUCKI,782
OSAK,782
REWERS,782
CZERNICKI,781
CZERW,781
SELIGA,781
DRAGON,780
KOLBUSZ,780
ŁOZOWSKI,780
ROGACZEWSKI,780
WILAMOWSKI,780
FRANKE,779
GNIEWEK,779
HOŁUB,779
JOŃSKI,779
PLEWKA,779
SEROKA,779
TOMICZEK,779
TRUSZCZYŃSKI,779
CZAPNIK,778
NAREWSKI,778
OLEKSIUK,778
SŁABOŃ,778
TOBOLSKI,778
GRZESIUK,777
KRZYSIAK,777
STRYCZEK,777
HABER,776
KONIECZKO,776
POSTEK,776
RABENDA,776
SZEFER,776
CIEPLAK,775
POCHEĆ,775
PRUSACZYK,775
WOJNA,775
WOJTYCZKA,775
BILICKI,774
JEZIOROWSKI,774
JĘDRUSIK,774
KAWAŁEK,774
KRZANOWSKI,774
MATYJASIK,774
NAPIERAJ,774
OSIKA,774
BŁAWAT,773
HUMENIUK,773
MULARSKI,773
RODZIK,773
STRÓZIK,773
ALBRECHT,772
BABIAK,772
BENTKOWSKI,772
DUŚ,772
KĘSY,772
CIOCH,771
MARKS,771
RYBAKOWSKI,771
PIKULSKI,770
GROCHOLSKI,769
JĘDRYSIAK,769
KORZEC,769
ŁEBEK,769
MATERNA,769
OWSIANKA,769
PIEKUTOWSKI,769
RĘBACZ,769
TWARDY,769
CEGLARSKI,768
CELEJ,768
CHRUŚCIŃSKI,768
LEGUTKO,768
PIASECZNY,768
SADECKI,768
TYRKA,768
TYSZKO,768
KAMPA,767
LESIUK,767
LEŚNY,767
MALEWSKI,767
PRZEWOŹNIK,767
SNARSKI,767
WOJNICKI,767
ZIENTARA,767
JASKOT,766
MOLIŃSKI,766
NASKRĘT,766
STODULSKI,766
SYTA,766
ŻURAW,766
SZMIGIELSKI,765
WITECKI,765
HRYCIUK,764
KOMOR,764
JACEWICZ,763
LUDWIG,763
DUNAJSKI,762
PODLASKI,762
SIENNICKI,762
SUTKOWSKI,762
ZIEMIAŃSKI,762
BIAŁCZAK,761
DOMALEWSKI,761
KANIOWSKI,761
OWCZARZ,761
BORZYSZKOWSKI,760
BUKOWIEC,760
DMITRUK,760
KUPISZ,760
MAIK,760
BAGROWSKI,759
GOLIS,759
ZIEMSKI,759
ANTOSIEWICZ,758
PRUŚ,758
STEFAN,758
TRAN,758
WANTUCH,758
WOŁOWSKI,758
EJSMONT,757
KOTLARSKI,757
LIZOŃ,757
PIEPRZYK,757
CIECHANOWICZ,756
ŁABĘCKI,756
ŁUKASZEK,756
ADAM,755
ANTOSIAK,755
DUSZAK,755
KOZINA,755
RĘKAWEK,755
DZIĘGIEL,754
PAZIEWSKI,754
ULANOWSKI,754
ZAŁĘCKI,754
JACHOWICZ,753
JEŻAK,753
KIELISZEK,753
LIPNICKI,753
ŁAKOMIEC,752
ŁYCZKO,752
SAWKA,752
ZASTAWNY,752
DZIUK,751
ŚWIST,751
ZDYBEL,751
BIGUS,750
KAISER,750
KOCEMBA,750
POLANOWSKI,750
RÓJ,750
SANOCKI,750
SIATKOWSKI,750
TWORKOWSKI,750
ZYBAŁA,750
KULEJ,749
MELNYCHUK,749
RZEPKOWSKI,749
USZYŃSKI,749
KOBYLAŃSKI,748
LASOCKI,748
MODLIŃSKI,748
NIŻNIK,748
OPIELA,748
SERWIN,748
FORNALCZYK,747
MATUSZ,747
WOJTYNIAK,747
MUSIK,746
PASIŃSKI,746
SOPEL,746
KIN,745
MICHAŁKIEWICZ,745
SIENIAWSKI,745
SZOTA,745
GŁOWALA,744
KAŁUSKI,744
LASECKI,744
MACURA,744
OGIŃSKI,744
BEM,743
FRĄCZAK,743
ŁOZA,743
NIEDBALSKI,743
STANISŁAWCZYK,742
SZAŁEK,742
ZYGADŁO,742
DONIEC,741
JADACH,741
WAGA,741
CHĄDZYŃSKI,740
CUPIAŁ,740
GLINIECKI,740
GMEREK,740
ANTKIEWICZ,739
FALIŃSKI,739
GAJOWNICZEK,739
KAMECKI,739
POLACZEK,739
RADEK,739
SOŁOWIEJ,739
SUCHOMSKI,739
WIDAWSKI,739
BAŁUT,738
PAŁUBICKI,738
RUCHAŁA,738
ABRAMOWSKI,737
BYLICA,737
FUDAŁA,737
GROCHOCKI,737
GRZENKOWICZ,737
JEZNACH,737
KASZUBSKI,737
RĄCZKOWSKI,737
SZABELSKI,737
KOSZEWSKI,736
MARTYNA,736
MIŚTA,736
STASIOWSKI,736
SZUMOWSKI,736
AKSAMIT,735
DERLATKA,735
FUDALA,735
LASAK,735
OKRASA,735
SANECKI,735
BUŁAT,734
DEMIANIUK,734
KACPROWICZ,734
KNITTER,734
MATOGA,734
SPRINGER,734
KADŁUBOWSKI,733
KWAS,733
OSTOJSKI,733
PLEWIŃSKI,733
CICHOWICZ,732
CZERNIEJEWSKI,732
DERKACZ,732
FERENS,732
KWOKA,732
LEŚKIEWICZ,732
NATKANIEC,732
OLCHAWA,732
SZAFRANEK,732
BIELAWA,731
DOBIES,731
GALEWSKI,731
KOLANOWSKI,731
KOMOREK,731
WOJTYNA,731
GLUZA,730
KASZEWSKI,730
KOMOSA,730
KORDAS,730
KORYCIŃSKI,730
MAJCHEREK,730
WACŁAWSKI,730
ZYCHOWICZ,730
ANDRYSIAK,729
BEDNARCZUK,729
FURMAŃCZYK,729
JUST,729
KOŁCZ,729
KUSAK,729
STEPNOWSKI,729
SZLAGA,729
BECZEK,728
BRANICKI,728
KRUSZYNA,728
POLEK,728
ROSŁANIEC,728
SZCZUPAK,728
WERESZCZYŃSKI,728
KONCEWICZ,727
MARCHEL,727
SZOŁTYSIK,727
CZERNY,726
SUS,726
URBANIEC,726
ZHANG,726
KRZESZOWSKI,725
MADALIŃSKI,725
PODYMA,725
IWANOWICZ,724
KUŚMIREK,724
MIKLASZEWSKI,724
SIEROCKI,724
SKORUPIŃSKI,724
BETLEJ,723
BOSEK,723
DOŁĘGOWSKI,723
HERBUT,723
JEZIOREK,723
KAJDA,723
KOSTUCH,723
REDA,723
STRZĘPEK,723
ŚLEDZIEWSKI,723
DRZYZGA,722
GRUNWALD,722
LORENZ,722
MIERZYŃSKI,722
PŁOSKONKA,722
POROWSKI,722
TARASZKIEWICZ,722
WAWRZYŃSKI,722
CZUB,721
KOBA,721
KRZYKOWSKI,721
OWSIANY,721
PIASEK,721
PYRKA,721
RADKIEWICZ,721
WOJCIECHOWICZ,721
BŁĘDOWSKI,720
CIĘŻKI,720
MACHNICKI,720
SUMARA,720
NAJDEK,719
PAŹ,719
STRACH,719
ŚWIEBODA,719
TALAR,719
TYMOSZUK,719
WICIK,719
KUŹMICZ,718
LENDZION,718
STEFANIK,718
TARAS,718
JURAK,717
MAJCHROWICZ,717
SIEMBIDA,717
TARASEWICZ,717
ZIARKOWSKI,717
FELIKS,716
OBUCHOWSKI,716
SKROBISZ,716
ŚCISŁOWSKI,716
TRYBUŁA,716
WARDZIŃSKI,716
WINTER,716
BARTOSIŃSKI,715
CZERWIK,715
KRZESZEWSKI,715
PAWEŁCZAK,715
PIECZARA,715
POŁCZYŃSKI,715
SKRZEK,715
BARTOŃ,714
FIEDOR,714
JÓŹWICKI,714
ŁASZKIEWICZ,714
DZIERŻANOWSKI,713
GLAPA,713
MAKUŁA,713
PODSTAWKA,713
BAJERSKI,712
BŁACHOWICZ,712
BRULIŃSKI,712
CIUPEK,712
MAŁYSZKO,712
PIETRASZ,712
TRZNADEL,712
ZAGAJEWSKI,712
BRYŁKA,711
KAŁUZIŃSKI,711
LALIK,711
PAPAJ,711
STASZCZAK,711
ZAWIŁA,711
DRĄŻKIEWICZ,710
RADZKI,710
SŁOMCZYŃSKI,710
STAROWICZ,710
STEFANEK,710
STRĘK,710
SYKUŁA,710
SZYMALA,710
ŚLEZIAK,710
DAWIDZIUK,709
SEREMAK,709
SMOK,709
DŁUŻNIEWSKI,708
HENDZEL,708
KIRAGA,708
LATKOWSKI,708
ŁUKASZYK,708
OLKIEWICZ,708
PASOŃ,708
SEREDA,708
SIWICKI,708
KACAŁA,707
MALARZ,707
MISZTELA,707
SOĆKO,707
ZIOBROWSKI,707
BRYCHCY,706
BUTRYN,706
JARZYNKA,706
RYCHEL,706
SAJ,706
SZYMCZUK,706
ŚWIĄTCZAK,706
WILUSZ,706
ZADROGA,706
GARBARCZYK,705
KWAK,705
SIERZPUTOWSKI,705
SMYCZEK,705
ŚWIERKOWSKI,705
ŁEMPICKI,704
MAGNUSZEWSKI,704
SMĘTEK,704
SUCHARSKI,704
WOJTASIAK,704
ŻMUDZIŃSKI,704
DYDUCH,703
GRYGORUK,703
HOŁOWNIA,703
JASKÓŁKA,703
MAKARA,703
PĘDZICH,703
SEROCZYŃSKI,703
SZYMICZEK,703
TRUCHAN,703
DULSKI,702
GOLUCH,702
KOSIERADZKI,702
SKROBEK,702
TOPOROWSKI,702
GDANIEC,701
IGIELSKI,701
PIORUN,701
POHL,701
PRUCNAL,701
CHROSTEK,700
CZERNEK,700
KOROLCZUK,700
KRZEMPEK,700
ŁOBODZIŃSKI,700
MIAZEK,700
MUNIAK,700
ARENT,699
BUGAŁA,699
GODULA,699
HILDEBRANDT,699
LANGA,699
LI,699
LUBERDA,699
MARIAŃSKI,699
SMOLIK,699
JAGUŚ,698
KRYSZAK,698
KUBASIK,698
ŁYŻWA,698
MOLĘDA,698
RELIGA,698
SEREK,698
STRUK,698
WITAK,698
BULA,697
FIL,697
GZIK,697
KAŁA,697
MISIEK,697
SOBKOWICZ,697
SUPIŃSKI,697
WAWRZAK,697
OPOKA,696
PARA,696
POZORSKI,696
UJMA,696
ZGODA,696
BRZĘCZEK,695
GŁUSZAK,695
GOŁUŃSKI,695
GOSTKOWSKI,695
KRYGER,695
KUBISIAK,695
ŁEPKOWSKI,695
PARKITNY,695
PRZYDATEK,695
WORONIECKI,695
CHĘĆ,694
CIEŚLUK,694
FILIPSKI,694
KONOPIŃSKI,694
ŁAPKA,694
MIKLAS,694
NAJDER,694
POPCZYK,694
SOPATA,694
TOMASIEWICZ,694
ZIEMNIAK,694
BRYCH,693
GĘBICKI,693
KALISZUK,693
OCHMAŃSKI,693
PIASTA,693
SOKAL,693
STATKIEWICZ,693
ŚCIGAŁA,693
WODNICKI,693
ZAŁOGA,693
GRZEŚKIEWICZ,692
KAMROWSKI,692
KILIŃSKI,692
SATERNUS,692
SZOZDA,692
GUZIŃSKI,691
KOBOS,691
SZAFARCZYK,691
BRACH,690
GROŃ,690
JAGUSIAK,690
JARUGA,690
KMIOTEK,690
KOWALEWICZ,690
MEJER,690
MILEWICZ,690
MYSZK,690
OLEWIŃSKI,690
ZIMOŃ,690
BALON,689
BOGUS,689
CHLEBEK,689
EKIERT,689
KRZYWDZIŃSKI,689
LATAWIEC,689
MIANOWSKI,689
NIEPSUJ,689
OŁDAKOWSKI,689
GAWENDA,688
GRYGIER,688
KAROLCZYK,688
KUDLIŃSKI,688
ŁYSEK,688
NIERADKA,688
PACAK,688
PONIKOWSKI,688
SZYMASZEK,688
ZALAS,688
JORDAN,687
KONSTANTY,687
SPŁAWSKI,687
TYLKOWSKI,687
WIDZ,687
CZYŻAK,686
GROMALA,686
HOJKA,686
KARBOWNICZEK,686
KOSTRUBIEC,686
HYŻY,685
KACA,685
PERZYNA,685
RUTYNA,685
WALCZEWSKI,685
WALUS,685
BAJKOWSKI,684
CZYŻYK,684
GŁADKI,684
KOTWICKI,684
MACIĄŻEK,684
MATUSZYK,684
MIARKA,684
MOLIK,684
PONICHTERA,684
RUTKIEWICZ,684
SĘDZIAK,684
SITAREK,684
SŁODKOWSKI,684
STASZEK,684
SZUMNY,684
WŁOSEK,684
ZEMAN,684
BOCHNAK,683
BOROWCZAK,683
DYBEK,683
KOPANIA,683
NOGALSKI,683
SMULSKI,683
ŚLĘCZKA,683
TARASEK,683
ĆWIERTNIA,682
DROŻDŻYŃSKI,682
KAWALA,682
KOŚCIAŃSKI,682
MATUSZKIEWICZ,682
MOCZYDŁOWSKI,682
MOŃKA,682
PAPROTA,682
SĘDŁAK,682
SZYBIAK,682
TCHÓRZ,682
WORONOWICZ,682
BAKUN,681
DAŁEK,681
FRANEK,681
KUCZA,681
MIKOSZ,681
ORKISZ,681
PAWIŃSKI,681
BONISŁAWSKI,680
DENIS,680
DWORZYŃSKI,680
KORNILUK,680
KRÓLICKI,680
KUS,680
KUŹMICKI,680
NAUMOWICZ,680
PAJEWSKI,680
RDZANEK,680
SZPILA,680
TUSIŃSKI,680
WIEJAK,680
DRELICH,679
KORECKI,679
LESZKO,679
LIPCZYŃSKI,679
MINDA,679
NITECKI,679
POWIERŻA,679
SZYMANOWICZ,679
BECKER,678
BIELAŃSKI,678
GALIK,678
GAŃKO,678
KOZANECKI,678
KUPIŃSKI,678
BRONISZ,677
CHWIAŁKOWSKI,677
FREJ,677
HANDZEL,677
HINCA,677
PIECZYKOLAN,677
BANIAK,676
BOŻYK,676
GROT,676
JAKÓBCZAK,676
KAWAŁKO,676
KROGULEC,676
MALESZEWSKI,676
NOWORYTA,676
OCHAŁ,676
SIWIAK,676
SMOLARZ,676
SZUMIŃSKI,676
BORÓWKA,675
ELIASZ,675
KANTORSKI,675
ONISZCZUK,675
PRZYBYCIEŃ,675
SUJKA,675
CHOMICKI,674
DZIEDZINA,674
IWANIAK,674
KIESZKOWSKI,674
PAJDA,674
SAWICZ,674
TLAŁKA,674
DORSZ,673
HYJEK,673
MACHNIO,673
MAJERCZYK,673
BIDZIŃSKI,672
CIEŚLICKI,672
DZIADKOWIEC,672
JANIGA,672
KOŚKA,672
KUCZ,672
PERZYŃSKI,672
STRZAŁA,672
SULIŃSKI,672
SUWALSKI,672
VOLOSHYN,672
ZAORSKI,672
DROBNY,671
HAŁAT,671
KOPCIŃSKI,671
SŁOMIAN,671
SONDEJ,671
DZIDA,670
KUBOWICZ,670
KUSEK,670
MATELSKI,670
OLECHNOWICZ,670
PLOCH,670
POTĘPA,670
PURZYCKI,670
WINIAREK,670
BARTOSZUK,669
GOGOLEWSKI,669
JOKIEL,669
KALUS,669
KAPUŚNIAK,669
OKUNIEWSKI,669
TRZEŚNIEWSKI,669
CHRZĄSTEK,668
DESKA,668
GUMOWSKI,668
KONDRATIUK,668
MIZIOŁEK,668
PASIECZNY,668
RYKACZEWSKI,668
SZURGOT,668
ZMUDA,668
JONCZYK,667
KOPYCIŃSKI,667
ROLNIK,667
SAMBOR,667
TOPCZEWSKI,667
WRZOS,667
ŻELECHOWSKI,667
IWASZKO,666
KROLL,666
ŁUC,666
MATEUSIAK,666
MUCHOWSKI,666
ROMANIK,666
STEMPIEŃ,666
TROCKI,666
BUJOK,665
CZEKAŃSKI,665
GNAT,665
JĘDRZEJEK,665
SIEMIANOWSKI,665
SITNIK,665
TOMKOWIAK,665
WITOS,665
ANISZEWSKI,664
GAWĘCKI,664
KORNAS,664
POPIS,664
POPRAWSKI,664
SMYKOWSKI,664
SUSZYŃSKI,664
ZAWIEJA,664
ARCHACKI,663
JASZEWSKI,663
KOŁACKI,663
KUNIKOWSKI,663
LEŚNIEWICZ,663
BUŁAWA,662
CHACIŃSKI,662
KASPERKIEWICZ,662
KŁOPOTOWSKI,662
PALMOWSKI,662
SZAJNA,662
WĘGLEWSKI,662
AUGUŚCIK,661
CEGŁOWSKI,661
GÓRCZAK,661
KUŹNIEWSKI,661
PANFIL,661
PASIUT,661
ROMAŃCZYK,661
WOŁCZYK,661
BIELAS,660
HAJDUGA,660
KRZYSIEK,660
POŻOGA,660
WANDZEL,660
WITA,660
ZIMNOCH,660
DYMIŃSKI,659
FURGAŁA,659
OSTAPIUK,659
PIETRYGA,659
SAPIŃSKI,659
SZPONAR,659
ZACHARIASZ,659
ZACZYK,659
BEKIER,658
FABIAŃSKI,658
KORNATOWSKI,658
TEODORCZYK,658
HAVRYLIUK,657
JERECZEK,657
KLIMCZUK,657
ŁACIAK,657
STOCH,657
STRASZEWSKI,657
SZUSZKIEWICZ,657
WYCHOWANIEC,657
BORCZYK,656
CHODAKOWSKI,656
OZDOBA,656
RYŁKO,656
SOSZKA,656
WIŃSKI,656
ZADWORNY,656
BOŁOZ,655
GOŁEK,655
HAŁASA,655
IGNASZAK,655
KOJDER,655
MIĘTUS,655
POLOWCZYK,655
RUDA,655
SYCH,655
DOBRZENIECKI,654
FRANCUZ,654
GAD,654
GRAF,654
KAZNOWSKI,654
LATOSIŃSKI,654
ŁUBIŃSKI,654
MAJCZAK,654
MITKA,654
PTASZNIK,654
RYMARZ,654
ŚWIECA,654
WYDRZYŃSKI,654
ŻELICHOWSKI,654
DOMINICZAK,653
GĄSIEWSKI,653
RYKAŁA,653
SŁAWSKI,653
WIELEBA,653
KAŁKA,652
ŁOPACIŃSKI,652
ŁOWICKI,652
MANIECKI,652
NALEPKA,652
PACZUSKI,652
ROSZCZYK,652
STRUSKI,652
WYROSTEK,652
ADLER,651
KAMIONKA,651
KMAK,651
MOĆKO,651
PIÓREK,651
WALASIK,651
WALECKI,651
CIESZKOWSKI,650
JOACHIMIAK,650
MASZTALERZ,650
MŁODZIANOWSKI,650
PAWLICZEK,650
POCZĄTEK,650
ŚMIESZEK,650
ŚWITEK,650
BIELEŃ,649
GACKI,649
KABZIŃSKI,649
KORBEL,649
LENIK,649
MIROCHA,649
MITRĘGA,649
GRZECH,648
HIBNER,648
KOZIEJ,648
MIGDALSKI,648
PIELAK,648
SIEŃKOWSKI,648
SOSIN,648
WŁODAREK,648
BULIK,647
CUDAK,647
DZIURZYŃSKI,647
GASIŃSKI,647
HERMANN,647
ROSZYK,647
WIJATA,647
ZŁOTKOWSKI,647
AMBROŻY,646
BIŃCZYK,646
KUSIŃSKI,646
MODRZYŃSKI,646
NOWACZEK,646
OGRODOWSKI,646
OSMAŃSKI,646
POPOV,646
SYCZ,646
WITAS,646
GROŃSKI,645
SZAŁAŃSKI,645
WOJNAROWICZ,645
BAŁAZY,644
SZCZECHOWICZ,644
SZCZESNY,644
WIKA,644
WOJTECKI,644
WYSZOMIERSKI,644
BOLESTA,643
JARCZYŃSKI,643
JĘDRYCHOWSKI,643
KONSEK,643
MAINKA,643
MAROŃ,643
POCHOPIEŃ,643
UCIŃSKI,643
BRUSKI,642
CIEĆWIERZ,642
MARCHENKO,642
PYCH,642
STRZYŻ,642
SYLWESTRZAK,642
SZKLARCZYK,642
ZBLEWSKI,642
KOCHANOWICZ,641
LESZEK,641
MAJDAK,641
NIKLAS,641
RYCHERT,641
BALAWENDER,640
BERG,640
JANOWIAK,640
KIEŁEK,640
KOZIATEK,640
SKIERSKI,640
GOCH,639
LINEK,639
POLCYN,639
SZOLC,639
WĘGIEL,639
CAŁA,638
DURSKI,638
FLUDER,638
MIARA,638
RODZEŃ,638
STANIASZEK,638
SZYMULA,638
BALCEROWSKI,637
CIBA,637
JAMROŻY,637
OPIOŁA,637
ORCZYKOWSKI,637
SKULSKI,637
STERNAL,637
STRAMA,637
CHWAŁA,636
DANIELCZYK,636
JURGIELEWICZ,636
KIJAS,636
LICHOŃ,636
MACIOCHA,636
NIZIŃSKI,636
RAŹNY,636
DRWAL,635
LISIŃSKI,635
PIKUS,635
RUDOWSKI,635
SADOWY,635
STALA,635
SZADY,635
ARNDT,634
BANDURSKI,634
DANILEWICZ,634
DULIŃSKI,634
DZIWISZ,634
IRZYK,634
JANKOWICZ,634
SIELICKI,634
WOJTAN,634
BUŚKO,633
CHEŁMIŃSKI,633
NICZYPORUK,633
HABA,632
KOPCZYK,632
KORSAK,632
KOZAR,632
KRAJ,632
KUZIOŁA,632
MARCINIUK,632
PACUŁA,632
BONDYRA,631
BUCZKO,631
GŁOS,631
TOPA,631
CAŁUS,630
GORZKIEWICZ,630
GRADZIK,630
GRUDA,630
KAFEL,630
KOTALA,630
MYSŁEK,630
SZLĘK,630
TALAŚKA,630
WARYCH,630
WŁODARZ,630
BULCZAK,629
EWERTOWSKI,629
GOSPODARCZYK,629
JACAK,629
KOŚLA,629
LYSENKO,629
MATWIEJCZUK,629
OLECHNO,629
SIARA,629
TEPER,629
URYGA,629
WITASZEK,629
ZĘBALA,629
KONOPA,628
MALCHER,628
OŻAROWSKI,628
PAŁUCKI,628
PAWLAS,628
PŁOMIŃSKI,628
PRZYCHODZEŃ,628
RDUCH,628
SKARBEK,628
MASIAK,627
RUPIŃSKI,627
SKWARCZYŃSKI,627
WOŁOWICZ,627
DRYWA,626
FILAR,626
PALIGA,626
ŚWIATŁOWSKI,626
WACHNIK,626
WAWROWSKI,626
WOLAN,626
ABRAMEK,625
CHEŁMINIAK,625
FIGARSKI,625
GROCHULSKI,625
KAZIMIERCZUK,625
KĄKOLEWSKI,625
LEŚKO,625
PISKOREK,625
POLEWSKI,625
PRABUCKI,625
PUCEK,625
SZTORC,625
ŚWIERAD,625
WASIŃSKI,625
BERNATOWICZ,624
CIARKOWSKI,624
CIUPKA,624
LOCH,624
MADERA,624
POTONIEC,624
ROGOWICZ,624
SIERACKI,624
FIGAS,623
GALICA,623
KOMUDA,623
OSADNIK,623
ŚWIĘTOŃ,623
WITKIEWICZ,623
GRYKO,622
HADRYŚ,622
KIEDROWICZ,622
KRAŚNICKI,622
STOSIO,622
BAZYDŁO,621
CIUPIŃSKI,621
FAJFER,621
HAJDA,621
MACIEJCZAK,621
MANKIEWICZ,621
MICHALEWSKI,621
MOCH,621
MYSZAK,621
PAZIO,621
RUSZEL,621
STOSIK,621
DZIDO,620
JURCZUK,620
KORTAS,620
PODOBIŃSKI,620
SAMUL,620
SOBIESIAK,620
SZUREK,620
ŚLEDZIŃSKI,620
WRĘCZYCKI,620
BZOWSKI,619
CHAMERA,619
DOMACHOWSKI,619
GLAPIAK,619
HEJDUK,619
IWAŃCZUK,619
KIJANKA,619
KUCZAJ,619
KWINTA,619
POPIELARSKI,619
SMUGA,619
UCHMAN,619
ZDUNIAK,619
BAJON,618
GRZECHOWIAK,618
GRZYMKOWSKI,618
KAWULA,618
KUNC,618
PAKOSZ,618
SIMON,618
WIECH,618
ZIEMBICKI,618
BIEGAJ,617
DRĄŻKOWSKI,617
GORYL,617
JÓZWIAK,617
KRZYSZTOFIAK,617
LUDWICKI,617
PRZERWA,617
SERWA,617
SZELA,617
TERESZKIEWICZ,617
ZMYŚLONY,617
BINKIEWICZ,616
BOCHEN,616
DEPCZYŃSKI,616
GRYBOŚ,616
PALUS,616
SAJA,616
WEŁNA,616
WIECHEĆ,616
BIELEWICZ,615
CEGLARZ,615
DOBROSIELSKI,615
MANOWSKI,615
PACHUCKI,615
PÓŁCHŁOPEK,615
SOKÓLSKI,615
BRONIKOWSKI,614
CIECHOMSKI,614
GODYŃ,614
GONTAREK,614
JAROCH,614
MACHOŃ,614
PANCERZ,614
PARZYSZEK,614
SZCZODROWSKI,614
TWORZYDŁO,614
WIT,614
CISZAK,613
KUSYK,613
LAMPARSKI,613
PRAŁAT,613
SOŃTA,613
SZMURŁO,613
CENTKOWSKI,612
DŁUGOKĘCKI,612
DYMKOWSKI,612
GARDOCKI,612
ROHDE,612
SŁUPEK,612
FABIŚ,611
KAŹMIERCZYK,611
KUKOWSKI,611
KUMOREK,611
LIGAS,611
ŁĄCZNY,611
MURACH,611
BEREŚ,610
CHMARA,610
CZARNIAK,610
DUBAJ,610
GAPSKI,610
GRUSZCZYK,610
KOŁOSOWSKI,610
LEWANDOWICZ,610
LISAK,610
MASALSKI,610
SROMEK,610
BEREDA,609
GAJDZIŃSKI,609
GĄBKA,609
GNATOWSKI,609
HOŁUBOWICZ,609
KROCHMAL,609
ŁACNY,609
ŁAWECKI,609
OWSIAK,609
PACHOLEC,609
SOKULSKI,609
SZELEST,609
SZENDZIELORZ,609
KOBYŁKA,608
KOCHMAN,608
POTACZEK,608
RATKOWSKI,608
SHVETS,608
SZKODA,608
WALENDZIK,608
BAKALARSKI,607
BRATKOWSKI,607
CIERPIAŁ,607
CZAPKA,607
GOSŁAWSKI,607
KLIMOWSKI,607
ROZUM,607
SIEKIERA,607
SKIBNIEWSKI,607
STOŻEK,607
AFTYKA,606
CZOGAŁA,606
FUKS,606
GOLON,606
JAŁOWIECKI,606
KOSTIUK,606
ŁYCZKOWSKI,606
MIELCARZ,606
PACAN,606
PERKA,606
REJNIAK,606
STELMASZYK,606
BUCHOLC,605
DREWNOWSKI,605
GOJ,605
IWASZKIEWICZ,605
JARMOŁOWICZ,605
LESZCZYK,605
PYSZ,605
SMOLEŃSKI,605
STANICKI,605
ZABŁOTNY,605
GORAL,604
JAKIMIUK,604
MAKARSKI,604
ORLICKI,604
SKWIERAWSKI,604
TROSZCZYŃSKI,604
WYROBEK,604
CHARKIEWICZ,603
DYBAŚ,603
KOZAKOWSKI,603
LELITO,603
OŚLIZŁO,603
SIEJA,603
SZARMACH,603
SZKOP,603
BŁAUT,602
CZUBEK,602
GROCHOWINA,602
KUSHNIR,602
MIĘTKIEWICZ,602
NOWOTARSKI,602
RAMOTOWSKI,602
STOBIECKI,602
STYPUŁA,602
WAŚNIOWSKI,602
WÓJS,602
CHMURZYŃSKI,601
CUPER,601
KAJZER,601
KATARZYŃSKI,601
KISIELEWICZ,601
MALECKI,601
PESTA,601
RUDENKO,601
SIDORCZUK,601
SZYMANIK,601
WATRAS,601
KARWOT,600
KRASICKI,600
LINDNER,600
PRZEŹDZIECKI,600
RYZNAR,600
ZUBEL,600
BRAŃKA,599
GONTARCZYK,599
GRZEŚ,599
PAŚNIK,599
PRĘDKI,599
PUCHACZ,599
STRUŚ,599
JAKIMOWICZ,598
KAPERA,598
KORNECKI,598
KOZACZUK,598
LEJMAN,598
REMBISZ,598
RZUCIDŁO,598
WAWRYNIUK,598
WDOWCZYK,598
ANUSZKIEWICZ,597
GOLUS,597
KOJ,597
KOPCIUCH,597
LUBERA,597
ŁOPUSZYŃSKI,597
MARTYKA,597
OLAK,597
TUTKA,597
WIDUCH,597
ZMARZŁY,597
ANTAS,596
BOLEWSKI,596
CHACHUŁA,596
CHMIELAK,596
FILAS,596
OŚKA,596
PISZCZ,596
